商品编码,商品名称,人民币
1,第1章 活动物,305381928
2,第2章 肉及食用...,606696458
3,第3章 鱼、甲壳...,5869215619
4,第4章 乳品；蛋...,460688620
5,第5章 其他动物...,894567738
6,第6章 活树及其...,339355779
7,第7章 食用蔬菜...,6877309455
8,第8章 食用水果...,3984349421
9,第9章 咖啡、茶...,2287515848
10,第10章 谷物,767507124
11,第11章 制粉工业...,488049847
12,第12章 含油子仁...,1511826457
13,第13章 虫胶；树...,1285745241
14,第14章 编结用植...,150396606
15,动、植物或微生物油、...,2286117117
16,第16章 肉、鱼、...,6600765017
17,第17章 糖及糖食,1950788303
18,第18章 可可及可...,359356470
19,第19章 谷物、粮...,1613981010
20,第20章 蔬菜、水...,5629224656
21,第21章 杂项食品,4227170661
22,第22章 饮料、酒...,2042208016
23,第23章 食品工业...,2282146494
24,第24章 烟草、烟...,5731046173
25,第25章 盐；硫磺...,1930505813
26,第26章 矿砂、矿...,2617477864
27,第27章 矿物燃料...,39859506725
28,第28章 无机化学...,18816916501
29,第29章 有机化学...,46019904367
30,第30章 药品,7115043036
31,第31章 肥料,7776902050
32,第32章 鞣料浸膏...,5822406742
33,第33章 精油及香...,5114865938
34,第34章 肥皂、有...,4592810357
35,第35章 蛋白类物...,2789471643
36,第36章 炸药；烟...,356143767
37,第37章 照相及电...,777223626
38,第38章 杂项化学...,19991894884
39,第39章 塑料及其...,78055755387
40,第40章 橡胶及其...,20635949588
41,第41章 生皮（毛...,502566022
42,第42章 皮革制品...,22019122731
43,第43章 毛皮、人...,1077870722
44,第44章 木及木制...,9397176112
45,第45章 软木及软...,33063470
46,第46章 稻草、秸...,880646899
47,第47章 木浆及其...,158444758
48,第48章 纸及纸板...,17480483588
49,第49章 书籍、报...,2637448538
50,第50章 蚕丝,482629495
51,第51章 羊毛、动...,1178157378
52,第52章 棉花,6541804982
53,第53章 其他植物...,1267753979
54,第54章 化学纤维...,17396712194
55,第55章 化学纤维...,7804669066
56,第56章 絮胎、毡...,4513338894
57,第57章 地毯及纺...,2410442913
58,第58章 特种机织...,3292049088
59,第59章 浸渍、涂...,5448499914
60,第60章 针织物及...,13553850661
61,第61章 针织或钩...,55593823468
62,第62章 非针织或...,42986888448
63,第63章 其他纺织...,21038852725
64,第64章 鞋靴、护...,29718819074
65,第65章 帽类及其...,3489984111
66,第66章 雨伞、阳...,1576522024
67,第67章 已加工羽...,5589802149
68,第68章 石料、石...,6843923067
69,第69章 陶瓷产品,14993625814
70,第70章 玻璃及其...,14615894154
71,第71章 天然或养...,19363970288
72,第72章 钢铁,38294824788
73,第73章 钢铁制品,55767894110
74,第74章 铜及其制...,5794561324
75,第75章 镍及其制...,989666358
76,第76章 铝及其制...,20510831299
78,第78章 铅及其制...,606603127
79,第79章 锌及其制...,87588101
80,第80章 锡及其制...,160717143
81,第81章 其他贱金...,2893926278
82,第82章 贱金属工...,14122344260
83,第83章 贱金属杂...,15448114674
84,第84章 核反应堆...,314363455170
85,第85章 电机、电...,612512256737
86,第86章 铁道及电...,7305721714
87,第87章 车辆及其...,121729468759
88,第88章 航空器、...,4305635770
89,第89章 船舶及浮...,15972505539
90,第90章 光学、照...,44136816885
91,第91章 钟表及其...,3022203405
92,第92章 乐器及其...,1509718999
93,第93章 武器、弹...,144015050
94,第94章 家具；寝...,72194526597
95,第95章 玩具、游...,63105201622
96,第96章 杂项制品,16769587091
97,第97章 艺术品、...,294791132
98,第98章 特殊交易...,42909608732
99,跨境电商B2B简化申...,1695186378
