商品编码,商品名称,人民币
1,第1章 活动物,271969242
2,第2章 肉及食用...,493478015
3,第3章 鱼、甲壳...,3624700072
4,第4章 乳品；蛋...,345134598
5,第5章 其他动物...,728962643
6,第6章 活树及其...,288305504
7,第7章 食用蔬菜...,5074119431
8,第8章 食用水果...,2619908921
9,第9章 咖啡、茶...,1502734414
10,第10章 谷物,213259220
11,第11章 制粉工业...,361806833
12,第12章 含油子仁...,1485710794
13,第13章 虫胶；树...,892916844
14,第14章 编结用植...,118397361
15,动、植物或微生物油、...,2207651904
16,第16章 肉、鱼、...,3389685277
17,第17章 糖及糖食,1436372817
18,第18章 可可及可...,145247170
19,第19章 谷物、粮...,1119735335
20,第20章 蔬菜、水...,3698156855
21,第21章 杂项食品,2718363593
22,第22章 饮料、酒...,1242848965
23,第23章 食品工业...,1996809030
24,第24章 烟草、烟...,3645713057
25,第25章 盐；硫磺...,1348123966
26,第26章 矿砂、矿...,2139000962
27,第27章 矿物燃料...,27492948699
28,第28章 无机化学...,12857494825
29,第29章 有机化学...,37230646066
30,第30章 药品,5663697519
31,第31章 肥料,1677620411
32,第32章 鞣料浸膏...,4621297163
33,第33章 精油及香...,3613913351
34,第34章 肥皂、有...,3180393843
35,第35章 蛋白类物...,2004454322
36,第36章 炸药；烟...,468945258
37,第37章 照相及电...,658628019
38,第38章 杂项化学...,14041751546
39,第39章 塑料及其...,62490302181
40,第40章 橡胶及其...,15864471690
41,第41章 生皮（毛...,346652643
42,第42章 皮革制品...,17123532599
43,第43章 毛皮、人...,118267619
44,第44章 木及木制...,6926679419
45,第45章 软木及软...,14448462
46,第46章 稻草、秸...,754645054
47,第47章 木浆及其...,153129086
48,第48章 纸及纸板...,13197231655
49,第49章 书籍、报...,1560164236
50,第50章 蚕丝,317970429
51,第51章 羊毛、动...,887716490
52,第52章 棉花,4938186236
53,第53章 其他植物...,850572979
54,第54章 化学纤维...,12852203550
55,第55章 化学纤维...,6144093609
56,第56章 絮胎、毡...,3388765527
57,第57章 地毯及纺...,1814266339
58,第58章 特种机织...,2746758589
59,第59章 浸渍、涂...,4244091087
60,第60章 针织物及...,8514878145
61,第61章 针织或钩...,33987479819
62,第62章 非针织或...,30351584208
63,第63章 其他纺织...,14240842376
64,第64章 鞋靴、护...,25294112973
65,第65章 帽类及其...,2751578788
66,第66章 雨伞、阳...,1757732775
67,第67章 已加工羽...,4728186050
68,第68章 石料、石...,4897890547
69,第69章 陶瓷产品,10920668414
70,第70章 玻璃及其...,11727621327
71,第71章 天然或养...,10134613522
72,第72章 钢铁,33660705757
73,第73章 钢铁制品,44038163006
74,第74章 铜及其制...,4901512157
75,第75章 镍及其制...,642709381
76,第76章 铝及其制...,17293456291
78,第78章 铅及其制...,68942640
79,第79章 锌及其制...,97527645
80,第80章 锡及其制...,171659845
81,第81章 其他贱金...,2366856283
82,第82章 贱金属工...,11029835076
83,第83章 贱金属杂...,12361044148
84,第84章 核反应堆...,266605389116
85,第85章 电机、电...,406247937752
86,第86章 铁道及电...,8064868604
87,第87章 车辆及其...,98986107120
88,第88章 航空器、...,2551277524
89,第89章 船舶及浮...,16587670513
90,第90章 光学、照...,32330305410
91,第91章 钟表及其...,1974714336
92,第92章 乐器及其...,982671043
93,第93章 武器、弹...,104017340
94,第94章 家具；寝...,58542618489
95,第95章 玩具、游...,29023043253
96,第96章 杂项制品,11967580733
97,第97章 艺术品、...,409186993
98,第98章 特殊交易...,29494660800
99,跨境电商B2B简化申...,281260474
