商品编码,商品名称,人民币
1,第1章 活动物,346206980
2,第2章 肉及食用...,510773242
3,第3章 鱼、甲壳...,7760345855
4,第4章 乳品;蛋...,286421652
5,第5章 其他动物...,999792592
6,第6章 活树及其...,173402190
7,第7章 食用蔬菜...,5956091163
8,第8章 食用水果...,3793869056
9,第9章 咖啡、茶...,1529223592
10,第10章 谷物,414713638
11,第11章 制粉工业...,288052246
12,第12章 含油子仁...,1417074674
13,第13章 虫胶;树...,565862656
14,第14章 编结用植...,59844195
15,第15章 动、植物...,300132400
16,第16章 肉、鱼、...,4411128313
17,第17章 糖及糖食,930915494
18,第18章 可可及可...,286335850
19,第19章 谷物、粮...,854721911
20,第20章 蔬菜、水...,4090136040
21,第21章 杂项食品,1713928434
22,第22章 饮料、酒...,1092143071
23,第23章 食品工业...,1311880411
24,第24章 烟草、烟...,585112946
25,第25章 盐;硫磺...,1458698778
26,第26章 矿砂、矿...,104897513
27,第27章 矿物燃料...,16131229742
28,第28章 无机化学...,6079977623
29,第29章 有机化学...,20903878554
30,第30章 药品,3493580503
31,第31章 肥料,3746859347
32,第32章 鞣料浸膏...,3083014766
33,第33章 精油及香...,2262893332
34,第34章 肥皂、有...,1759914985
35,第35章 蛋白类物...,1298612318
36,第36章 炸药;烟...,562834956
37,第37章 照相及电...,529480087
38,第38章 杂项化学...,6483980811
39,第39章 塑料及其...,33281918271
40,第40章 橡胶及其...,9116745055
41,第41章 生皮（毛...,350574884
42,第42章 皮革制品...,14598472337
43,第43章 毛皮、人...,2783440403
44,第44章 木及木制...,7033516747
45,第45章 软木及软...,10649813
46,第46章 稻草、秸...,761990962
47,第47章 木浆及其...,49725946
48,第48章 纸及纸板...,10579609348
49,第49章 书籍、报...,1880404943
50,第50章 蚕丝,546015038
51,第51章 羊毛、动...,945812307
52,第52章 棉花,7929885385
53,第53章 其他植物...,636916338
54,第54章 化学纤维...,9119916959
55,第55章 化学纤维...,6589337036
56,第56章 絮胎、毡...,2506141970
57,第57章 地毯及纺...,1421563489
58,第58章 特种机织...,2366970340
59,第58章 浸渍、涂...,3712221607
60,第60章 针织物及...,7916830422
61,第61章 针织或钩...,39925197764
62,第62章 非针织或...,38822908739
63,第63章 其他纺织...,14270265175
64,第64章 鞋靴、护...,22318771250
65,第65章 帽类及其...,2234590480
66,第66章 雨伞、阳...,1203374892
67,第67章 已加工羽...,2725748120
68,第68章 石料、石...,5842550531
69,第69章 陶瓷产品,9551030187
70,第70章 玻璃及其...,8089862466
71,第71章 天然或养...,17086494938
72,第72章 钢铁,21946969347
73,第73章 钢铁制品,27324202429
74,第74章 铜及其制...,2607031857
75,第75章 镍及其制...,162480155
76,第76章 铝及其制...,11195607229
78,第78章 铅及其制...,30275309
79,第79章 锌及其制...,124081687
80,第80章 锡及其制...,33805480
81,第81章 其他贱金...,1397175933
82,第82章 贱金属工...,7205168429
83,第83章 贱金属杂...,8745830136
84,第84章 核反应堆...,182546947533
85,第85章 电机、电...,339874370752
86,第86章 铁道及电...,3519825472
87,第87章 车辆及其...,31520742913
88,第88章 航空器、...,1882274651
89,第89章 船舶及浮...,11107331250
90,第90章 光学、照...,38584511861
91,第91章 钟表及其...,2968748619
92,第92章 乐器及其...,1003731141
93,第93章 武器、弹...,79769971
94,第94章 家具;寝...,47176319256
95,第95章 玩具、游...,30438962106
96,第96章 杂项制品,8162951014
97,第97章 艺术品、...,134625589
98,第98章 特殊交易...,3349929635
