商品编码,商品名称,人民币
1,第1章   活动物,280624354.0
2,第2章   肉及食用杂碎,904589071.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,6305153915.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,547537111.0
5,第5章   其他动物产品,1276686572.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311897520.0
7,第7章   食用蔬菜、根及块茎,6730337160.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,3106323106.0
9,第9章   咖啡、茶、马黛茶及调味香料,1954575242.0
10,第10章  谷物,337688028.0
11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,608807095.0
12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,1711692975.0
13,第13章  虫胶；树胶、树脂及其他植物液、汁,1462411203.0
14,第14章  编结用植物材料；其他植物产品,200388963.0
15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,2794973046.0
16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,6434840688.0
17,第17章  糖及糖食,2034598143.0
18,第18章  可可及可可制品,287068793.0
19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,1780301668.0
20,第20章  蔬菜、水果、坚果或植物其他部分的制品,4974007119.0
21,第21章  杂项食品,4380386704.0
22,第22章  饮料、酒及醋,2572524492.0
23,第23章  食品工业的残渣及废料；配制的动物饲料,2514174524.0
24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,3604006848.0
25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,1889797218.0
26,第26章  矿砂、矿渣及矿灰,1335775063.0
27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,34537546823.0
28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,14523260219.0
29,第29章  有机化学品,49129261869.0
30,第30章  药品,7203184486.0
31,第31章  肥料,9612168009.0
32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,5938269302.0
33,第33章  精油及香膏；芳香料制品及化妆盥洗品,5818749110.0
34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,5749783386.0
