Commodity code,Commodity,US dollar
1,Live animals,33825485.0
2,Meat and edible meat offal,69386552.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1021836362.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",42250940.0
5,"roducts of animal origin,not elsewhere specified or included",241544965.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",29786105.0
7,Edible vegetables and certain roots and tubers,1005418810.0
8,Edible fruit and nuts; peel of citrus fruit or melons,245571966.0
9,"Coffee, tea, maté and spices",329471297.0
10,Cereals,115033677.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,73086471.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",204345013.0
13,"Lac; gums, resins and other vegetable saps and extracts",146185592.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,10697724.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,104060535.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",806560073.0
17,Sugars and sugar confectionery,158532804.0
18,Cocoa and cocoa preparations,21686281.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",166124216.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",663008158.0
21,Miscellaneous edible preparations,344318654.0
22,"Beverages, spirits and vinegar",194881386.0
23,Residues and waste from the food industries; prepared animal fodder,242697673.0
24,Tobacco and manufactured tobacco substitutes,118595994.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",275806558.0
26,"Ores, slag and ash",132078477.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",3945935339.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",1449599317.0
29,Organic chemicals,5016530612.0
30,Pharmaceutical products,831500644.0
31,Fertilisers,553546945.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,679154235.0
33,Essential oils and resinoids; perfumery,471357219.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",368906189.0
35,Albuminoidal substances; modified starches;,279840877.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,110707896.0
37,Photographic or cinematographic goods,99124333.0
38,Miscellaneous chemical products,1528086463.0
39,Plastics and articles thereof,7056261346.0
40,Rubber and articles thereof,2025832703.0
41,Raw hides and skins (other than furskins) and leather,68617397.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",2698868611.0
43,Furskins and artificial fur; manufactures thereof,382509415.0
44,Wood and articles of wood; wood charcoal,1168758506.0
45,Cork and articles of cork,2607131.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",143553360.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,10670414.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",1835487973.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",356920619.0
50,ilk,82186299.0
