商品编码,商品名称,美元
1,第1章   活动物,38940668.0
2,第2章   肉及食用杂碎,125695740.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,876371420.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,76086405.0
5,第5章   其他动物产品,177673591.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,43377727.0
7,第7章   食用蔬菜、根及块茎,935574396.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,431855525.0
9,第9章   咖啡、茶、马黛茶及调味香料,271695066.0
10,第10章  谷物,46934474.0
11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,84612261.0
12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,237953296.0
13,第13章  虫胶；树胶、树脂及其他植物液、汁,203287004.0
14,第14章  编结用植物材料；其他植物产品,27855910.0
15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,388491719.0
16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,894222068.0
17,第17章  糖及糖食,282752166.0
18,第18章  可可及可可制品,39919219.0
19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,247509473.0
20,第20章  蔬菜、水果、坚果或植物其他部分的制品,691271412.0
21,第21章  杂项食品,608760739.0
22,第22章  饮料、酒及醋,357683812.0
23,第23章  食品工业的残渣及废料；配制的动物饲料,349452186.0
24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,500989646.0
25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,262640924.0
26,第26章  矿砂、矿渣及矿灰,185580331.0
27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,4799252959.0
28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,2018431608.0
29,第29章  有机化学品,6829215310.0
30,第30章  药品,1001653162.0
31,第31章  肥料,1335496317.0
32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,825451491.0
33,第33章  精油及香膏；芳香料制品及化妆盥洗品,808847767.0
34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,799108333.0
35,第35章  蛋白类物质；改性淀粉；胶；酶,445262711.0
36,第36章  炸药；烟火制品；引火合金；易燃材料制品,153541533.0
37,第37章  照相及电影用品,124449216.0
38,第38章  杂项化学产品,2735735412.0
39,第39章  塑料及其制品,12565431486.0
40,第40章  橡胶及其制品,3167586748.0
41,第41章  生皮（毛皮除外）及皮革,100182085.0
42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,3226546131.0
43,第43章  毛皮、人造毛皮及其制品,80194475.0
44,第44章  木及木制品；木炭,1390170811.0
45,第45章  软木及软木制品,4121440.0
46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,101364100.0
47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,24786854.0
48,第48章  纸及纸板；纸浆、纸或纸板制品,2552319756.0
49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,417954697.0
50,第50章  蚕丝,54145685.0
51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,149943465.0
52,第52章  棉花,816442015.0
53,第53章  其他植物纺织纤维；纸纱线及其机织物,64636625.0
54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,2434434175.0
55,第55章  化学纤维短纤,1151626484.0
56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,721734851.0
57,第57章  地毯及纺织材料的其他铺地制品,361739192.0
58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,540447748.0
59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,852361644.0
