Commodity code,Commodity,US dollar
1,Live animals,58420292.0
2,Meat and edible meat offal,74674525.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1282571080.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",48556666.0
5,"roducts of animal origin,not elsewhere specified or included",125645045.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",28640099.0
7,Edible vegetables and certain roots and tubers,789632441.0
8,Edible fruit and nuts; peel of citrus fruit or melons,712240225.0
9,"Coffee, tea, maté and spices",228644615.0
10,Cereals,37552620.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,56061836.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",274145194.0
13,"Lac; gums, resins and other vegetable saps and extracts",98381577.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,10071808.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,50764575.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",732873046.0
17,Sugars and sugar confectionery,138532022.0
18,Cocoa and cocoa preparations,44356473.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",129154157.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",622093107.0
21,Miscellaneous edible preparations,287460896.0
22,"Beverages, spirits and vinegar",244448075.0
23,Residues and waste from the food industries; prepared animal fodder,174594398.0
24,Tobacco and manufactured tobacco substitutes,86089179.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",327783937.0
26,"Ores, slag and ash",13938236.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2586746356.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",1021769493.0
29,Organic chemicals,3166580602.0
30,Pharmaceutical products,580005354.0
31,Fertilisers,1005495948.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,484395896.0
33,Essential oils and resinoids; perfumery,383526379.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",269132126.0
35,Albuminoidal substances; modified starches;,219350434.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,99319674.0
37,Photographic or cinematographic goods,100037655.0
38,Miscellaneous chemical products,969912787.0
39,Plastics and articles thereof,5529966916.0
40,Rubber and articles thereof,1518371161.0
41,Raw hides and skins (other than furskins) and leather,55113795.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",2513152660.0
43,Furskins and artificial fur; manufactures thereof,299256994.0
44,Wood and articles of wood; wood charcoal,1071120167.0
45,Cork and articles of cork,1722641.0
