数据年月,商品编码,商品名称,美元
202411,89,第89章  船舶及浮动结构体,9130055.0
202411,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,6123948946.0
202411,91,第91章  钟表及其零件,246071694.0
202411,92,第92章  乐器及其零件、附件,23939992.0
202411,93,第93章  武器、弹药及其零件、附件,2051677.0
202411,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,169824301.0
202411,95,第95章  玩具、游戏品、运动用品及其零件、附件,213387918.0
202411,96,第96章  杂项制品,90480778.0
202411,97,第97章  艺术品、收藏品及古物,35556605.0
202411,98,第98章  特殊交易品及未分类商品,839795402.0
