商品编码,商品名称,人民币
1,第1章 活动物,179739924
2,第2章 肉及食用...,13127315716
3,第3章 鱼、甲壳...,10771881835
4,第4章 乳品；蛋...,3425466663
5,第5章 其他动物...,666867218
6,第6章 活树及其...,244411163
7,第7章 食用蔬菜...,1248387684
8,第8章 食用水果...,8659802337
9,第9章 咖啡、茶...,882507705
10,第10章 谷物,4705122036
11,第11章 制粉工业...,1150650674
12,第12章 含油子仁...,34027773201
13,第13章 虫胶；树...,235921644
14,第14章 编结用植...,80179568
15,动、植物或微生物油、...,7340120737
16,第16章 肉、鱼、...,390008031
17,第17章 糖及糖食,3282066541
18,第18章 可可及可...,1134484028
19,第19章 谷物、粮...,3843904220
20,第20章 蔬菜、水...,1318889902
21,第21章 杂项食品,4726173817
22,第22章 饮料、酒...,3328141901
23,第23章 食品工业...,3833735736
24,第24章 烟草、烟...,371949552
25,第25章 盐；硫磺...,6619175450
26,第26章 矿砂、矿...,137849910730
27,第27章 矿物燃料...,274282438949
28,第28章 无机化学...,11435880162
29,第29章 有机化学...,30685353814
30,第30章 药品,26402394533
31,第31章 肥料,2429673462
32,第32章 鞣料浸膏...,2966388176
33,第33章 精油及香...,10374554860
34,第34章 肥皂、有...,3352322943
35,第35章 蛋白类物...,2522879427
36,第36章 炸药；烟...,93215352
37,第37章 照相及电...,2224408745
38,第38章 杂项化学...,13741407197
39,第39章 塑料及其...,35570777467
40,第40章 橡胶及其...,11597264842
41,第41章 生皮（毛...,1676350426
42,第42章 皮革制品...,3288781284
43,第43章 毛皮、人...,630779076
44,第44章 木及木制...,9358275625
45,第45章 软木及软...,19114161
46,第46章 稻草、秸...,13082728
47,第47章 木浆及其...,12692782518
48,第48章 纸及纸板...,3694297141
49,第49章 书籍、报...,1117504330
50,第50章 蚕丝,72334891
51,第51章 羊毛、动...,1089417683
52,第52章 棉花,3646945661
53,第53章 其他植物...,853739120
54,第54章 化学纤维...,1233813471
55,第55章 化学纤维...,1024767150
56,第56章 絮胎、毡...,677443233
57,第57章 地毯及纺...,49652663
58,第58章 特种机织...,159306263
59,第59章 浸渍、涂...,756571210
60,第60章 针织物及...,411262652
61,第61章 针织或钩...,2069240742
62,第62章 非针织或...,4047485839
63,第63章 其他纺织...,187873094
64,第64章 鞋靴、护...,3080548969
65,第65章 帽类及其...,170063285
66,第66章 雨伞、阳...,4469986
67,第67章 已加工羽...,836520365
68,第68章 石料、石...,1124400315
69,第69章 陶瓷产品,799565245
70,第70章 玻璃及其...,3639430558
71,第71章 天然或养...,66310014406
72,第72章 钢铁,17459820457
73,第73章 钢铁制品,5172488315
74,第74章 铜及其制...,46008309634
75,第75章 镍及其制...,6353821978
76,第76章 铝及其制...,8994380646
78,第78章 铅及其制...,146721462
79,第79章 锌及其制...,1382583829
80,第80章 锡及其制...,821903872
81,第81章 其他贱金...,2282887647
82,第82章 贱金属工...,1457391174
83,第83章 贱金属杂...,887307395
84,第84章 核反应堆...,147742460108
85,第85章 电机、电...,369718422857
86,第86章 铁道及电...,393713182
87,第87章 车辆及其...,29660422319
88,第88章 航空器、...,8248045519
89,第89章 船舶及浮...,1023608111
90,第90章 光学、照...,44587352439
91,第91章 钟表及其...,1504741009
92,第92章 乐器及其...,169929650
93,第93章 武器、弹...,24282652
94,第94章 家具；寝...,1228636876
95,第95章 玩具、游...,1580314939
96,第96章 杂项制品,704506219
97,第97章 艺术品、...,1886416638
98,第98章 特殊交易...,4846068192
