Commodity code,Commodity,Renminbi Yuan
1,Live animals,744160624.0
2,Meat and edible meat offal,3388793451.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3099089553.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2773911868.0
5,"roducts of animal origin,not elsewhere specified or included",228839687.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",76282772.0
7,Edible vegetables and certain roots and tubers,1317961468.0
8,Edible fruit and nuts; peel of citrus fruit or melons,4762829192.0
9,"Coffee, tea, maté and spices",161989147.0
10,Cereals,4266562088.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,538524677.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",23055750810.0
13,"Lac; gums, resins and other vegetable saps and extracts",122866145.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,97734635.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,4195289027.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",151943696.0
17,Sugars and sugar confectionery,1079072905.0
18,Cocoa and cocoa preparations,520063300.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1787718242.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",442675060.0
21,Miscellaneous edible preparations,670395794.0
22,"Beverages, spirits and vinegar",1985524166.0
23,Residues and waste from the food industries; prepared animal fodder,1416785948.0
24,Tobacco and manufactured tobacco substitutes,721319263.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",3307177340.0
26,"Ores, slag and ash",52313892438.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",114985432600.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",4146934680.0
29,Organic chemicals,26013940632.0
30,Pharmaceutical products,7862845479.0
31,Fertilisers,1798662978.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,2063458027.0
33,Essential oils and resinoids; perfumery,2226930099.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",1993321936.0
35,Albuminoidal substances; modified starches;,1554407894.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,73564773.0
37,Photographic or cinematographic goods,1082401681.0
38,Miscellaneous chemical products,7624466196.0
39,Plastics and articles thereof,34999036594.0
40,Rubber and articles thereof,7370430164.0
41,Raw hides and skins (other than furskins) and leather,4229704370.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",1057241778.0
43,Furskins and artificial fur; manufactures thereof,286837464.0
44,Wood and articles of wood; wood charcoal,10595683548.0
45,Cork and articles of cork,32302436.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9811111.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,9122613165.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",2065250978.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",861795437.0
50,ilk,24939080.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1686585880.0
52,Cotton,6096956015.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,546311861.0
54,Man-made filaments; strip and the like of man-made textile materials,1561020496.0
55,Man-made staple fibres,1424592448.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",648790402.0
57,Carpets and other textile floor coverings,79412395.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,275718665.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",888160155.0
60,Knitted or crocheted fabrics,845039458.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",1185766544.0
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",1828371325.0
63,Other made up textile articles; sets;worn clothing and worn textile articles; rags,258323581.0
64,"Footwear, gaiters and the like; parts of such articles",1225796543.0
65,Headgear and parts thereof,25231714.0
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",9063247.0
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,137356599.0
