数据年月,商品编码,商品名称,人民币
201805,89,第89章  船舶及浮动结构体,27406579980.0
201805,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,37148382494.0
201805,91,第91章  钟表及其零件,2418949563.0
201805,92,第92章  乐器及其零件、附件,840763915.0
201805,93,第93章  武器、弹药及其零件、附件,93320458.0
201805,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,51545092024.0
201805,95,第95章  玩具、游戏品、运动用品及其零件、附件,24729822520.0
201805,96,第96章  杂项制品,9707440357.0
201805,97,第97章  艺术品、收藏品及古物,85989016.0
201805,98,第98章  特殊交易品及未分类商品,2421428310.0
