商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,103,孟加拉国,2640
1,第1章 活动物,107,柬埔寨,660
1,第1章 活动物,115,以色列,263
1,第1章 活动物,121,中国澳门,21228712
2,第2章 肉及食用...,101,阿富汗,5700767
2,第2章 肉及食用...,105,文莱,742721
2,第2章 肉及食用...,107,柬埔寨,201319
2,第2章 肉及食用...,121,中国澳门,33815660
2,第2章 肉及食用...,248,多哥,140510
2,第2章 肉及食用...,347,乌克兰,238547
2,第2章 肉及食用...,352,捷克,2142180
2,第2章 肉及食用...,412,智利,198823
2,第2章 肉及食用...,449,博纳尔，圣俄斯塔休斯和萨巴,4107150
3,第3章 鱼、甲壳...,105,文莱,1312999
3,第3章 鱼、甲壳...,115,以色列,37445201
3,第3章 鱼、甲壳...,117,约旦,522178
3,第3章 鱼、甲壳...,121,中国澳门,30636381
3,第3章 鱼、甲壳...,130,卡塔尔,4053049
3,第3章 鱼、甲壳...,131,沙特阿拉伯,8569650
3,第3章 鱼、甲壳...,134,斯里兰卡,7127787
3,第3章 鱼、甲壳...,144,东帝汶,3208876
3,第3章 鱼、甲壳...,201,阿尔及利亚,4909058
3,第3章 鱼、甲壳...,215,埃及,17192314
3,第3章 鱼、甲壳...,216,赤道几内亚,3211235
3,第3章 鱼、甲壳...,226,利比亚,399246
3,第3章 鱼、甲壳...,229,马里,1520934
3,第3章 鱼、甲壳...,232,摩洛哥,17562744
3,第3章 鱼、甲壳...,236,尼日利亚,26385709
3,第3章 鱼、甲壳...,238,卢旺达,4546778
3,第3章 鱼、甲壳...,247,坦桑尼亚,10927858
3,第3章 鱼、甲壳...,248,多哥,2625157
3,第3章 鱼、甲壳...,251,布基纳法索,4531725
3,第3章 鱼、甲壳...,253,赞比亚,1091894
3,第3章 鱼、甲壳...,302,丹麦,9257059
3,第3章 鱼、甲壳...,311,葡萄牙,106284401
3,第3章 鱼、甲壳...,328,罗马尼亚,568776
3,第3章 鱼、甲壳...,330,瑞典,50921967
3,第3章 鱼、甲壳...,331,瑞士,1983390
3,第3章 鱼、甲壳...,334,爱沙尼亚,188074
3,第3章 鱼、甲壳...,335,拉脱维亚,1455205
3,第3章 鱼、甲壳...,347,乌克兰,6276588
3,第3章 鱼、甲壳...,352,捷克,959848
3,第3章 鱼、甲壳...,355,波斯尼亚和黑塞哥维那,1021892
3,第3章 鱼、甲壳...,412,智利,32288393
3,第3章 鱼、甲壳...,413,哥伦比亚,5289099
3,第3章 鱼、甲壳...,418,多米尼加,13544211
3,第3章 鱼、甲壳...,423,危地马拉,13761902
3,第3章 鱼、甲壳...,426,洪都拉斯,1723404
3,第3章 鱼、甲壳...,432,巴拿马,7627975
3,第3章 鱼、甲壳...,434,秘鲁,7169035
3,第3章 鱼、甲壳...,449,博纳尔，圣俄斯塔休斯和萨巴,561179
3,第3章 鱼、甲壳...,504,百慕大,630156
3,第3章 鱼、甲壳...,603,斐济,20436289
3,第3章 鱼、甲壳...,609,新西兰,14837870
3,第3章 鱼、甲壳...,611,巴布亚新几内亚,867105
3,第3章 鱼、甲壳...,620,密克罗尼西亚联邦,579071
3,第3章 鱼、甲壳...,623,法属波利尼西亚,1870037
4,第4章 乳品；蛋...,105,文莱,566491
4,第4章 乳品；蛋...,106,缅甸,490076
4,第4章 乳品；蛋...,117,约旦,172930
4,第4章 乳品；蛋...,121,中国澳门,9566075
4,第4章 乳品；蛋...,130,卡塔尔,17009
4,第4章 乳品；蛋...,131,沙特阿拉伯,563299
4,第4章 乳品；蛋...,134,斯里兰卡,37615
4,第4章 乳品；蛋...,215,埃及,530027
4,第4章 乳品；蛋...,232,摩洛哥,714686
4,第4章 乳品；蛋...,302,丹麦,1761128
4,第4章 乳品；蛋...,328,罗马尼亚,253289
4,第4章 乳品；蛋...,330,瑞典,457720
4,第4章 乳品；蛋...,353,斯洛伐克,253289
4,第4章 乳品；蛋...,402,阿根廷,1226559
4,第4章 乳品；蛋...,423,危地马拉,426520
4,第4章 乳品；蛋...,602,库克群岛,1200
4,第4章 乳品；蛋...,609,新西兰,1355710
5,第5章 其他动物...,103,孟加拉国,8074906
5,第5章 其他动物...,106,缅甸,8623386
5,第5章 其他动物...,115,以色列,876105
5,第5章 其他动物...,117,约旦,805182
5,第5章 其他动物...,121,中国澳门,505852
5,第5章 其他动物...,134,斯里兰卡,366411
5,第5章 其他动物...,215,埃及,18388
5,第5章 其他动物...,232,摩洛哥,10851280
5,第5章 其他动物...,247,坦桑尼亚,252086
5,第5章 其他动物...,302,丹麦,4651967
5,第5章 其他动物...,311,葡萄牙,11983782
5,第5章 其他动物...,328,罗马尼亚,16398784
5,第5章 其他动物...,331,瑞士,1738431
5,第5章 其他动物...,334,爱沙尼亚,137426
5,第5章 其他动物...,347,乌克兰,1213735
5,第5章 其他动物...,352,捷克,7246998
5,第5章 其他动物...,353,斯洛伐克,82489
5,第5章 其他动物...,402,阿根廷,651357
5,第5章 其他动物...,412,智利,100851
5,第5章 其他动物...,423,危地马拉,908643
5,第5章 其他动物...,434,秘鲁,150000
5,第5章 其他动物...,609,新西兰,208968
6,第6章 活树及其...,103,孟加拉国,152571
6,第6章 活树及其...,105,文莱,38486
6,第6章 活树及其...,106,缅甸,8333940
6,第6章 活树及其...,107,柬埔寨,471083
6,第6章 活树及其...,114,伊拉克,38071
6,第6章 活树及其...,117,约旦,118849
6,第6章 活树及其...,121,中国澳门,5296492
6,第6章 活树及其...,130,卡塔尔,1731304
6,第6章 活树及其...,131,沙特阿拉伯,478085
6,第6章 活树及其...,134,斯里兰卡,37154
6,第6章 活树及其...,215,埃及,22926
6,第6章 活树及其...,253,赞比亚,71994
6,第6章 活树及其...,302,丹麦,451605
6,第6章 活树及其...,330,瑞典,129032
6,第6章 活树及其...,335,拉脱维亚,463229
6,第6章 活树及其...,402,阿根廷,76337
6,第6章 活树及其...,412,智利,36295
6,第6章 活树及其...,419,厄瓜多尔,223617
6,第6章 活树及其...,609,新西兰,188868
7,第7章 食用蔬菜...,101,阿富汗,1500
7,第7章 食用蔬菜...,103,孟加拉国,17341035
7,第7章 食用蔬菜...,105,文莱,3975032
7,第7章 食用蔬菜...,107,柬埔寨,850432
7,第7章 食用蔬菜...,114,伊拉克,1186517
7,第7章 食用蔬菜...,115,以色列,8260228
7,第7章 食用蔬菜...,117,约旦,4155221
7,第7章 食用蔬菜...,121,中国澳门,8716936
7,第7章 食用蔬菜...,130,卡塔尔,5474319
7,第7章 食用蔬菜...,131,沙特阿拉伯,22388431
7,第7章 食用蔬菜...,134,斯里兰卡,10905466
7,第7章 食用蔬菜...,144,东帝汶,1585981
7,第7章 食用蔬菜...,146,吉尔吉斯斯坦,159038
7,第7章 食用蔬菜...,201,阿尔及利亚,6668787
7,第7章 食用蔬菜...,215,埃及,985939
7,第7章 食用蔬菜...,229,马里,1689894
7,第7章 食用蔬菜...,232,摩洛哥,240090
7,第7章 食用蔬菜...,246,苏丹,4605695
7,第7章 食用蔬菜...,248,多哥,545095
7,第7章 食用蔬菜...,251,布基纳法索,140779
7,第7章 食用蔬菜...,302,丹麦,2927579
7,第7章 食用蔬菜...,311,葡萄牙,2171876
7,第7章 食用蔬菜...,328,罗马尼亚,2231636
7,第7章 食用蔬菜...,330,瑞典,3708723
7,第7章 食用蔬菜...,331,瑞士,3467381
7,第7章 食用蔬菜...,334,爱沙尼亚,639247
7,第7章 食用蔬菜...,343,摩尔多瓦,96347
7,第7章 食用蔬菜...,347,乌克兰,3733372
7,第7章 食用蔬菜...,352,捷克,130418
7,第7章 食用蔬菜...,353,斯洛伐克,7
7,第7章 食用蔬菜...,355,波斯尼亚和黑塞哥维那,282133
7,第7章 食用蔬菜...,402,阿根廷,2420846
7,第7章 食用蔬菜...,412,智利,4319374
7,第7章 食用蔬菜...,413,哥伦比亚,4956339
7,第7章 食用蔬菜...,416,古巴,207583
7,第7章 食用蔬菜...,418,多米尼加,8451674
7,第7章 食用蔬菜...,419,厄瓜多尔,1770066
7,第7章 食用蔬菜...,423,危地马拉,2169594
7,第7章 食用蔬菜...,426,洪都拉斯,1080555
7,第7章 食用蔬菜...,432,巴拿马,3882589
7,第7章 食用蔬菜...,433,巴拉圭,1010025
7,第7章 食用蔬菜...,434,秘鲁,6048019
7,第7章 食用蔬菜...,602,库克群岛,3500
7,第7章 食用蔬菜...,603,斐济,1397618
7,第7章 食用蔬菜...,609,新西兰,10058317
7,第7章 食用蔬菜...,623,法属波利尼西亚,82390
8,第8章 食用水果...,103,孟加拉国,133289995
8,第8章 食用水果...,105,文莱,567674
8,第8章 食用水果...,106,缅甸,176128055
8,第8章 食用水果...,107,柬埔寨,62278
8,第8章 食用水果...,114,伊拉克,649195
