Commodity code,Commodity,US dollar
1,Live animals,47195645.0
2,Meat and edible meat offal,1504299597.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1316607510.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",529067742.0
5,"roducts of animal origin,not elsewhere specified or included",67615944.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",20460459.0
7,Edible vegetables and certain roots and tubers,120838349.0
8,Edible fruit and nuts; peel of citrus fruit or melons,1209472408.0
9,"Coffee, tea, maté and spices",110155204.0
10,Cereals,299829883.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,94438442.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",3994734501.0
13,"Lac; gums, resins and other vegetable saps and extracts",36462279.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,10944111.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,866611415.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",35927284.0
17,Sugars and sugar confectionery,193285858.0
18,Cocoa and cocoa preparations,64408913.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",723547641.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",123292894.0
21,Miscellaneous edible preparations,304307923.0
22,"Beverages, spirits and vinegar",503549819.0
23,Residues and waste from the food industries; prepared animal fodder,440481438.0
24,Tobacco and manufactured tobacco substitutes,96405559.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",666834262.0
26,"Ores, slag and ash",15858274914.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",29012138825.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",933756513.0
29,Organic chemicals,4441817959.0
30,Pharmaceutical products,2810824784.0
31,Fertilisers,197270602.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,412377606.0
33,Essential oils and resinoids; perfumery,1344207706.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",398325431.0
35,Albuminoidal substances; modified starches;,327875321.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10494541.0
37,Photographic or cinematographic goods,237556810.0
38,Miscellaneous chemical products,1517556494.0
39,Plastics and articles thereof,6033840966.0
40,Rubber and articles thereof,1291781897.0
41,Raw hides and skins (other than furskins) and leather,268743413.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",313986069.0
43,Furskins and artificial fur; manufactures thereof,130797309.0
44,Wood and articles of wood; wood charcoal,1785646794.0
45,Cork and articles of cork,2883410.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",975797.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,1643817742.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",425970930.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",178373498.0
50,ilk,4290083.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",187893932.0
52,Cotton,603436265.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,84158796.0
54,Man-made filaments; strip and the like of man-made textile materials,224340722.0
55,Man-made staple fibres,176675301.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",94577448.0
57,Carpets and other textile floor coverings,10660872.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,35603226.0
