商品编码,商品名称,美元
01,第1章 活动物,130670655
02,第2章 肉及食用杂碎,1725554611
03,第3章 鱼、甲壳动物、软体动物及其他水生无脊椎动物,1536440609
04,第4章 乳品；蛋品；天然蜂蜜；其他食用动物产品,677304381
05,第5章 其他动物产品,107299138
06,第6章 活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,21869070
07,第7章 食用蔬菜、根及块茎,321688839
08,第8章 食用水果及坚果；甜瓜或柑橘属水果的果皮,2265809824
09,第9章 咖啡、茶、马黛茶及调味香料,309022328
10,第10章 谷物,690615789
11,第11章 制粉工业产品；麦芽；淀粉；菊粉；面筋,185790191
12,第12章 含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,6667576468
13,第13章 虫胶；树胶、树脂及其他植物液、汁,27033923
14,第14章 编结用植物材料；其他植物产品,23932942
15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,1087543652
16,第16章 肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,44546441
17,第17章 糖及糖食,219169560
18,第18章 可可及可可制品,105331639
19,第19章 谷物、粮食粉、淀粉或乳的制品；糕饼点心,544949638
20,第20章 蔬菜、水果、坚果或植物其他部分的制品,195021143
21,第21章 杂项食品,770490711
22,第22章 饮料、酒及醋,484397217
23,第23章 食品工业的残渣及废料；配制的动物饲料,695732537
24,第24章 烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,439598680
25,第25章 盐；硫磺；泥土及石料；石膏料、石灰及水泥,1086628567
26,第26章 矿砂、矿渣及矿灰,21310309442
27,第27章 矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,34922331142
28,第28章 无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,1849385283
29,第29章 有机化学品,4001001558
30,第30章 药品,3497767371
31,第31章 肥料,368150611
32,第32章 鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,438212920
33,第33章 精油及香膏；芳香料制品及化妆盥洗品,1425073450
34,第34章 肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,472599268
35,第35章 蛋白类物质；改性淀粉；胶；酶,364988264
36,第36章 炸药；烟火制品；引火合金；易燃材料制品,13469622
37,第37章 照相及电影用品,308784380
38,第38章 杂项化学产品,1994771695
39,第39章 塑料及其制品,4751841211
40,第40章 橡胶及其制品,1551147836
41,第41章 生皮（毛皮除外）及皮革,210505200
42,第42章 皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,480089643
43,第43章 毛皮、人造毛皮及其制品,64764100
44,第44章 木及木制品；木炭,1371001784
45,第45章 软木及软木制品,3196398
46,第46章 稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,3134188
47,第47章 木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,1914688361
48,第48章 纸及纸板；纸浆、纸或纸板制品,520750033
49,第49章 书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,161868401
50,第50章 蚕丝,4744742
51,第51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物,251269241
52,第52章 棉花,317491231
53,第53章 其他植物纺织纤维；纸纱线及其机织物,140421913
54,第54章 化学纤维长丝；化学纤维纺织材料制扁条及类似品,150283460
55,第55章 化学纤维短纤,116610926
56,第56章 絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,100695269
57,第57章 地毯及纺织材料的其他铺地制品,6556971
58,第58章 特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,20589779
59,第59章 浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,108656139
60,第60章 针织物及钩编织物,45857937
61,第61章 针织或钩编的服装及衣着附件,262812910
62,第62章 非针织或非钩编的服装及衣着附件,367108725
63,第63章 其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,27335808
64,第64章 鞋靴、护腿和类似品及其零件,436381996
65,第65章 帽类及其零件,20093793
66,第66章 雨伞、阳伞、手杖、鞭子、马鞭及其零件,1133143
67,第67章 已加工羽毛、羽绒及其制品；人造花；人发制品,117430397
68,第68章 石料、石膏、水泥、石棉、云母及类似材料的制品,153938516
69,第69章 陶瓷产品,125647741
70,第70章 玻璃及其制品,528271545
71,第71章 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,11825225797
72,第72章 钢铁,2471446053
73,第73章 钢铁制品,702602554
74,第74章 铜及其制品,5780435278
75,第75章 镍及其制品,1063855668
76,第76章 铝及其制品,1438631098
78,第78章 铅及其制品,32096637
79,第79章 锌及其制品,93128732
80,第80章 锡及其制品,84191607
81,第81章 其他贱金属、金属陶瓷及其制品,465012851
82,第82章 贱金属工具、器具、利口器、餐匙、餐叉及其零件,214836440
83,第83章 贱金属杂项制品,139839543
84,第84章 核反应堆、锅炉、机器、机械器具及零件,21426419291
85,第85章 电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,49560381532
86,第86章 铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,61501521
87,第87章 车辆及其零件、附件，但铁道及电车道车辆除外,4062738381
88,第88章 航空器、航天器及其零件,554201963
89,第89章 船舶及浮动结构体,15762979
90,第90章 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,5607954257
91,第91章 钟表及其零件,257798224
92,第92章 乐器及其零件、附件,23793285
93,第93章 武器、弹药及其零件、附件,68203
94,第94章 家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,168945203
95,第95章 玩具、游戏品、运动用品及其零件、附件,235973569
96,第96章 杂项制品,92348363
97,第97章 艺术品、收藏品及古物,61797076
98,第98章 特殊交易品及未分类商品,772393555
