Commodity code,Commodity,US dollar
1,Live animals,64740827.0
2,Meat and edible meat offal,1076188160.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",641768909.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",261347867.0
5,"roducts of animal origin,not elsewhere specified or included",41334585.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",18204268.0
7,Edible vegetables and certain roots and tubers,88257215.0
8,Edible fruit and nuts; peel of citrus fruit or melons,388525342.0
9,"Coffee, tea, maté and spices",71535751.0
10,Cereals,394734173.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,58326945.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",3749402723.0
13,"Lac; gums, resins and other vegetable saps and extracts",17020474.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14435755.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,655453424.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",13200574.0
17,Sugars and sugar confectionery,156628364.0
18,Cocoa and cocoa preparations,70048182.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",458338681.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",90445682.0
21,Miscellaneous edible preparations,204602195.0
22,"Beverages, spirits and vinegar",438815262.0
23,Residues and waste from the food industries; prepared animal fodder,386276099.0
24,Tobacco and manufactured tobacco substitutes,85571708.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",415820243.0
26,"Ores, slag and ash",8222224667.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",15407350748.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",845062454.0
29,Organic chemicals,3689466610.0
30,Pharmaceutical products,1738760440.0
31,Fertilisers,94154582.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,380517871.0
33,Essential oils and resinoids; perfumery,471864735.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",358326325.0
