Commodity code,Commodity,US dollar
1,Live animals,28846065.0
2,Meat and edible meat offal,768536383.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",580898081.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",331901507.0
5,"roducts of animal origin,not elsewhere specified or included",50212179.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",14285497.0
7,Edible vegetables and certain roots and tubers,207863543.0
8,Edible fruit and nuts; peel of citrus fruit or melons,439912251.0
9,"Coffee, tea, maté and spices",40216345.0
10,Cereals,625358266.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,93007149.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",2682609673.0
13,"Lac; gums, resins and other vegetable saps and extracts",20915519.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,20094403.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,583557579.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",14561430.0
17,Sugars and sugar confectionery,105829946.0
18,Cocoa and cocoa preparations,45791083.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",369870764.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",77355274.0
21,Miscellaneous edible preparations,195299294.0
22,"Beverages, spirits and vinegar",382071551.0
23,Residues and waste from the food industries; prepared animal fodder,238459449.0
24,Tobacco and manufactured tobacco substitutes,362166338.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",397000657.0
26,"Ores, slag and ash",6917110284.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",12774057664.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",804876116.0
29,Organic chemicals,3718566429.0
30,Pharmaceutical products,1922338301.0
31,Fertilisers,220313160.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,368255102.0
33,Essential oils and resinoids; perfumery,510875011.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",346418600.0
35,Albuminoidal substances; modified starches;,241876485.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13699096.0
37,Photographic or cinematographic goods,174806680.0
38,Miscellaneous chemical products,1292860226.0
39,Plastics and articles thereof,5349205206.0
40,Rubber and articles thereof,1147210894.0
41,Raw hides and skins (other than furskins) and leather,581725488.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",188899648.0
43,Furskins and artificial fur; manufactures thereof,123204501.0
44,Wood and articles of wood; wood charcoal,1771817813.0
45,Cork and articles of cork,3068121.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",780369.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,1506144506.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",348606345.0
