Commodity code,Commodity,US dollar
1,Live animals,34357407.0
2,Meat and edible meat offal,838408601.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",677647024.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",205411572.0
5,"roducts of animal origin,not elsewhere specified or included",34487589.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",29290433.0
7,Edible vegetables and certain roots and tubers,150479401.0
8,Edible fruit and nuts; peel of citrus fruit or melons,442034872.0
9,"Coffee, tea, maté and spices",66701863.0
10,Cereals,522752345.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,68782702.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",3382915712.0
13,"Lac; gums, resins and other vegetable saps and extracts",18173956.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,10347714.0
15,Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes,619926647.0
16,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates",21581031.0
17,Sugars and sugar confectionery,204742038.0
18,Cocoa and cocoa preparations,75465518.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",376302832.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",96827548.0
21,Miscellaneous edible preparations,182554462.0
22,"Beverages, spirits and vinegar",362186286.0
23,Residues and waste from the food industries; prepared animal fodder,371722411.0
24,Tobacco and manufactured tobacco substitutes,84021435.0
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",379095312.0
26,"Ores, slag and ash",8722992392.0
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",15792115569.0
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",577724301.0
29,Organic chemicals,3943162525.0
30,Pharmaceutical products,1963946460.0
31,Fertilisers,141998981.0
32,Tanning or dyeing extracts; tannins and their derivatives; dyes,365569515.0
33,Essential oils and resinoids; perfumery,584548917.0
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",349202773.0
35,Albuminoidal substances; modified starches;,278966971.0
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,11820521.0
37,Photographic or cinematographic goods,205558078.0
38,Miscellaneous chemical products,1285411153.0
39,Plastics and articles thereof,5304355621.0
40,Rubber and articles thereof,1185303460.0
41,Raw hides and skins (other than furskins) and leather,454521794.0
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",163413491.0
43,Furskins and artificial fur; manufactures thereof,94141169.0
44,Wood and articles of wood; wood charcoal,1644108236.0
45,Cork and articles of cork,3443855.0
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",1234240.0
47,Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard,1512870637.0
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",329679764.0
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",144141505.0
50,ilk,4173179.0
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",183343750.0
52,Cotton,620466334.0
53,Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn,54055090.0
54,Man-made filaments; strip and the like of man-made textile materials,230550881.0
55,Man-made staple fibres,165617772.0
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",105979547.0
57,Carpets and other textile floor coverings,12320913.0
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,46178290.0
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",139301243.0
60,Knitted or crocheted fabrics,141955618.0
61,"Articles of apparel and clothing accessories, knitted or crocheted",207812604.0
