数据年月,商品编码,商品名称,人民币
201712,89,第89章  船舶及浮动结构体,2147499457.0
201712,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,61133367465.0
201712,91,第91章  钟表及其零件,2110823535.0
201712,92,第92章  乐器及其零件、附件,235368111.0
201712,93,第93章  武器、弹药及其零件、附件,21250819.0
201712,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,2451329922.0
201712,95,第95章  玩具、游戏品、运动用品及其零件、附件,1252966042.0
201712,96,第96章  杂项制品,1492676643.0
201712,97,第97章  艺术品、收藏品及古物,34795677.0
201712,98,第98章  特殊交易品及未分类商品,10967078484.0
